feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Anaerotignum.sp022786605	group	PDCoV	-0.677621978314213	0.930972498227733	12	4	0.483390673952357	1
s__Anaerotignum.sp945912105	group	PDCoV	2.0741090772266	0.822198502685799	12	6	0.0302502566243298	1
s__Anaerovibrio.slackiae	group	PDCoV	1.18194764003524	0.995433490715198	12	2	0.262520504028514	1
s__Anaerovibrio.sp900548165	group	PDCoV	0.952783610742051	0.770292042843821	12	2	0.244379723823424	1
s__Angelakisella.sp004554485	group	PDCoV	1.86448798686623	0.835148933259714	12	6	0.0496298097574296	1
s__Angelakisella.sp004557855	group	PDCoV	1.84329187198525	0.75302098738755	12	7	0.0343833103848236	1
s__Bacteroides.hominis	group	PDCoV	-1.04540122167302	0.544315397932918	12	3	0.0837286572569346	1
s__Bacteroides.thetaiotaomicron	group	PDCoV	-1.75950611976068	1.76907158653515	12	7	0.343391029132676	1
s__Bacteroides.uniformis	group	PDCoV	-1.80316118800822	1.75789211356543	12	9	0.329181123626858	1
s__Basfia_A.rossii	group	PDCoV	-4.2884001182137	1.41899906786346	12	9	0.0128486348846562	1
s__Bifidobacterium.thermacidophilum	group	PDCoV	2.89603035356789	1.03830043390423	12	5	0.0191459456377162	1
s__Bilophila.wadsworthia	group	PDCoV	0.762024326384779	1.39201235081227	12	9	0.59609114281234	1
s__Blautia_A.obeum	group	PDCoV	0.46741743040339	0.981734809976589	12	8	0.644224550036045	1
s__Butyricimonas.virosa	group	PDCoV	0.100020339542291	1.46915045082412	12	10	0.947063676500512	1
s__CAG.103.sp900317855	group	PDCoV	2.36799610315059	0.929621905845167	12	8	0.0289994971530526	1
s__CAG.170.sp002404795	group	PDCoV	1.61486531561125	0.926827160038372	12	8	0.112056796884052	1
s__CAG.170.sp003516765	group	PDCoV	2.01516316373581	0.738734343030972	12	7	0.0212714344289643	1
s__CAG.177.sp003514385	group	PDCoV	1.37156514612747	2.04655710120671	12	8	0.517918489469479	1
s__CAG.302.sp934162325	group	PDCoV	0.661865379369641	0.311414788241777	12	3	0.059485354501369	1
s__CAG.349.sp003539515	group	PDCoV	2.1785832564546	0.837353671931873	12	5	0.0264121575767259	1
s__CAG.873.sp004552725	group	PDCoV	1.41771131590983	0.780337226613467	12	3	0.0992954896599733	1
s__CAG.873.sp945828175	group	PDCoV	2.9876505816294	0.882003953518813	12	6	0.00691665652092696	1
s__Campylobacter_D.coli	group	PDCoV	1.55140315382582	0.99618488925131	12	3	0.150445257458781	1
s__Clostridium.sp900759995	group	PDCoV	0.582848670585985	0.946962125068279	12	3	0.551978703190804	1
s__Clostridium_AP.scindens	group	PDCoV	-0.683610338259482	1.13674702448827	12	11	0.560975180831907	1
s__Collinsella.sp002391315	group	PDCoV	3.82704581569438	1.1882778596761	12	10	0.00916479694524767	1
s__Cryptobacteroides.sp000431015	group	PDCoV	2.40723604267329	0.900979916233131	12	8	0.0234201654594974	1
s__Cryptobacteroides.sp000434935	group	PDCoV	1.07365556665429	0.663430113503494	12	9	0.136659419700664	1
s__Cryptobacteroides.sp004552965	group	PDCoV	1.33224062731521	1.28088152041214	12	5	0.322788995278795	1
s__Cryptobacteroides.sp900546445	group	PDCoV	2.89982137886054	1.0671584705209	12	7	0.0216593793137353	1
s__Cryptobacteroides.sp900769145	group	PDCoV	1.43577809259444	0.665238503587247	12	9	0.0562716662601603	1
s__Desulfovibrio.sp900556755	group	PDCoV	-1.608607738396	1.141654580721	12	12	0.189159234426587	1
s__Dorea_A.sp016295505	group	PDCoV	2.68494021148331	0.846964968325042	12	7	0.00998642454140532	1
s__Enterocloster.aldenensis	group	PDCoV	-2.07560179622372	0.67849860435908	12	12	0.0120627804985642	1
s__Enterocloster.clostridioformis	group	PDCoV	-1.5783458504163	0.77657485251408	12	12	0.0695199337954918	1
s__Enterococcus.faecalis	group	PDCoV	-2.27505289328834	0.744953132836202	12	5	0.0121693339572603	1
s__Eubacterium_R.coprostanoligenes	group	PDCoV	1.37358023658172	0.779787056570742	12	3	0.108642635785921	1
s__Faecalimonas.sp029983955	group	PDCoV	-1.27550355150758	0.748920409307307	12	3	0.119369149311871	1
s__Faecousia.sp900546415	group	PDCoV	2.26959914701001	0.864344734135459	12	5	0.0253440458080745	1
s__Fimivicinus.sp002320555	group	PDCoV	-0.665645564103024	0.309667537547596	12	3	0.0571078943640475	1
s__Fimivicinus.sp900544715	group	PDCoV	2.28238414458129	1.46441817411106	12	6	0.150158905214073	1
s__Fusobacterium.gastrosuis	group	PDCoV	-4.17230772206418	1.32084804125424	12	8	0.01017937458113	1
s__Fusobacterium_A.mortiferum	group	PDCoV	-0.125162976114448	1.777499942891	12	7	0.945251491891501	1
s__Fusobacterium_A.varium	group	PDCoV	-5.1978441705418	1.60064787705983	12	9	0.00875988835614909	1
s__Gemmiger.sp004561545	group	PDCoV	2.29153202284973	0.950119127371388	12	8	0.0365683965267979	1
s__Gemmiger.sp900545545	group	PDCoV	0.557177325955877	1.79195617606986	12	8	0.762236515044244	1
s__Holdemanella.porci	group	PDCoV	1.67227790185342	0.766998589185236	12	10	0.054219077416418	1
s__Hungatella.effluvii	group	PDCoV	-1.40611654236687	0.93075600138726	12	5	0.161793266419322	1
s__Intestinimonas.butyriciproducens	group	PDCoV	1.77839514109766	1.06047821976843	12	11	0.124479280874522	1
s__Intestinimonas.massiliensis	group	PDCoV	2.02273578871129	0.600966343504698	12	10	0.00717188072988715	1
s__JAFBIX01.sp021531895	group	PDCoV	1.92459521749342	0.971488056863541	12	10	0.0757365261895983	1
s__JAHHTG01.sp029097145	group	PDCoV	0.920187884689891	1.60144998121836	12	5	0.578260493285638	1
s__Klebsiella.pneumoniae	group	PDCoV	-2.10165392393006	0.906509370699369	12	4	0.0428892775436283	1
s__Lactobacillus.amylovorus	group	PDCoV	3.1932271520872	1.33359818240971	12	10	0.0376714966851696	1
s__Lactobacillus.delbrueckii_B	group	PDCoV	1.18950893013037	1.44863743554887	12	9	0.430716600967709	1
s__Lactobacillus.sp947171515	group	PDCoV	-0.567086190954157	1.6193166522579	12	10	0.733452019571125	1
s__Lawsonibacter.sp000177015	group	PDCoV	1.65401037010243	1.14923766713013	12	9	0.180644401556536	1
s__Lawsonibacter_A.hominis	group	PDCoV	2.10294252066859	0.964059174593903	12	9	0.0541225898253636	1
s__Lepagella.sp000437495	group	PDCoV	2.7996467168275	1.33038120704124	12	4	0.0616203499071842	1
s__Ligilactobacillus.salivarius	group	PDCoV	1.2234333712146	1.16672508016599	12	10	0.319042197931054	1
s__Limiplasma.sp004556545	group	PDCoV	2.84247715480599	0.865231273357622	12	7	0.00821609445159071	1
s__Limivicinus.sp029010715	group	PDCoV	1.34596296313702	0.608213798370592	12	4	0.0513013747078322	1
s__Limosilactobacillus.mucosae	group	PDCoV	1.31732238115795	1.06259527240976	12	10	0.243382124955388	1
s__Limosilactobacillus.reuteri	group	PDCoV	-1.62232282819095	0.951440363528904	12	11	0.11898619888464	1
s__Limousia.pullorum	group	PDCoV	-0.36772976701746	0.760195595706221	12	5	0.638994858322203	1
s__Mediterraneibacter.torques	group	PDCoV	-2.65470619491285	1.09256353405101	12	5	0.0354625821791881	1
s__Megasphaera.elsdenii	group	PDCoV	2.74469613513269	1.17883659091361	12	7	0.0421715346156519	1
s__Oribacterium.sp004554245	group	PDCoV	1.64472263577333	0.955189092798409	12	3	0.115820762445265	1
s__Parabacteroides.distasonis	group	PDCoV	-1.5208579000866	1.53817798066706	12	8	0.346110170201239	1
s__Parabacteroides.merdae	group	PDCoV	-1.50231827191268	1.44860019702872	12	7	0.324124218042883	1
s__Parabacteroides.sp022775005	group	PDCoV	2.26398195155994	1.55480652932164	12	6	0.176027372644895	1
s__Pauljensenia.hyovaginalis	group	PDCoV	-1.9318460643446	1.25541770390215	12	5	0.154871143411541	1
s__Phascolarctobacterium_A.sp900553055	group	PDCoV	-1.09443546933529	1.06705079564418	12	11	0.329220635618369	1
s__Phocaeicola.plebeius_A	group	PDCoV	1.50104393757169	1.53320397288398	12	5	0.350658619208336	1
s__Phocaeicola.vulgatus	group	PDCoV	-1.53769009251637	2.16811215910358	12	9	0.494385085382064	1
s__Prevotella.copri_A	group	PDCoV	3.30147730593044	1.10942939892196	12	6	0.0139064007929748	1
s__Prevotella.faecis	group	PDCoV	1.9696972752475	0.842684005722126	12	4	0.0415225504980705	1
s__Prevotella.sp000434975	group	PDCoV	3.63747269706534	1.79462765605189	12	11	0.0701708752240927	1
s__Prevotella.sp004558865	group	PDCoV	0.434468860481535	0.285731190460853	12	2	0.159341118683889	1
s__Prevotella.sp022781445	group	PDCoV	1.19420338113838	0.900685183349008	12	4	0.214366382858914	1
s__RUG572.sp900547945	group	PDCoV	1.46259124924749	0.904539782867762	12	3	0.13696171942172	1
s__Roseburia.inulinivorans	group	PDCoV	-1.14753975880301	1.4230521015542	12	6	0.438772650728165	1
s__Roseburia.sp022771695	group	PDCoV	1.10851099730014	0.66794945729734	12	3	0.127988338465712	1
s__Rothia.nasimurium_D	group	PDCoV	-1.93438400103405	0.658752678081964	12	5	0.0148760206135873	1
s__Ruthenibacterium.lactatiformans	group	PDCoV	-0.926304800628982	1.12662173415313	12	10	0.430132964689049	1
s__Ruthenibacterium.sp944388395	group	PDCoV	1.10009363450045	0.914719218904239	12	9	0.256811128547306	1
s__SFDP01.sp004558185	group	PDCoV	0.648693496820991	0.477485623611973	12	2	0.204140331488294	1
s__SFEL01.sp004557245	group	PDCoV	1.70380486238548	0.867289064035892	12	6	0.0778501267650762	1
s__SFTJ01.sp004557385	group	PDCoV	2.6086687591268	1.36252560177608	12	6	0.0845624112227772	1
s__Streptococcus.hyointestinalis	group	PDCoV	-2.3653762409238	0.730284871865194	12	5	0.00888479091440021	1
s__Streptococcus.orisratti	group	PDCoV	-1.52691127590716	1.08166202865045	12	9	0.188407463572099	1
s__Sutterella.wadsworthensis_A	group	PDCoV	-0.358394546062546	1.4122928847258	12	6	0.804816236821325	1
s__UBA11774.sp900556645	group	PDCoV	1.71422679393745	1.07046938425397	12	5	0.140375782790836	1
s__UBA1685.sp004560435	group	PDCoV	1.95332315837003	1.19041245006529	12	5	0.131856642534142	1
s__UBA4248.sp004554395	group	PDCoV	2.54157650300772	0.920527476185202	12	5	0.0200952751642371	1
s__UBA4372.sp900543815	group	PDCoV	2.26800946264027	0.875954107300031	12	7	0.0269875521763276	1
s__UBA636.sp002299675	group	PDCoV	2.99969873470817	1.01103761163016	12	5	0.0141192586741234	1
s__UBA6382.sp945827465	group	PDCoV	1.65972446651097	0.55998099311956	12	5	0.0141932600032547	1
s__UBA7173.sp004557825	group	PDCoV	1.77696587346988	0.564326417873417	12	5	0.0103536005084759	1
s__UBA738.sp004557735	group	PDCoV	2.62142320186915	0.936328476467565	12	8	0.0188047622710721	1
s__Unknown	group	PDCoV	-0.0727821978116851	1.07268650035634	12	11	0.947242214045538	1
s__Veillonella.caviae	group	PDCoV	-1.78378494577722	1.03107734253769	12	11	0.114311194575597	1
s__Ventricola.sp004557905	group	PDCoV	2.12489004024906	1.37118231899495	12	9	0.152262232252305	1
s__Vescimonas.sp934591815	group	PDCoV	1.08895439773143	0.915802695868764	12	8	0.261880191386082	1
